nationality|freq|code|continent|region
Germany|12223|Germa|Europe|Central Europe
Spain|5396|Spain|Europe|Southern Europe
France|3933|Franc|Europe|Western Europe
United Kingdom|3853|Unite|Europe|British Isles
Poland|3016|Polan|Europe|Central Europe
Kingdom of Italy|2397|Kingd|Europe|Southern Europe
Italy|2000|Italy|Europe|Southern Europe
Soviet Union|1938|Sovie|Europe|Eastern Europe
Norway|1791|Norwa|Europe|Scandinavia
Belgium|1685|Belgi|Europe|Western Europe
Kingdom of the Netherlands|1665|Kingd|Europe|Western Europe
Hungary|1453|Hunga|Europe|Central Europe
United Kingdom of Great Britain and Ireland|1339|Unite|Europe|British Isles
Russia|1298|Russi|Europe|Eastern Europe
Switzerland|1283|Switz|Europe|Western Europe
Austria|1280|Austr|Europe|Central Europe
Czechoslovakia|1202|Czech|Europe|Central Europe
Sweden|1139|Swede|Europe|Scandinavia
Austria-Hungary|1079|Austr|Europe|Central Europe
Greece|1074|Greec|Europe|Southeastern Europe
Socialist Federal Republic of Yugoslavia|1027|Socia|Europe|Southeastern Europe
Russian Empire|1016|Russi|Europe|Eastern Europe
Slovenia|847|Slove|Europe|Central Europe
Finland|735|Finla|Europe|Scandinavia
Romania|695|Roman|Europe|Southeastern Europe
Denmark|669|Denma|Europe|Scandinavia
German Reich|592|Germa|Europe|Central Europe
Ukraine|540|Ukrai|Europe|Eastern Europe
Kingdom of Yugoslavia|523|Kingd|Europe|Southeastern Europe
Czech Republic|500|Czech|Europe|Central Europe
Portugal|479|Portu|Europe|Southern Europe
Bulgaria|395|Bulga|Europe|Southeastern Europe
German Empire|388|Germa|Europe|Central Europe
Lithuania|354|Lithu|Europe|Eastern Europe
Austrian Empire|347|Austr|Europe|Central Europe
Luxembourg|291|Luxem|Europe|Western Europe
Latvia|224|Latvi|Europe|Eastern Europe
East Germany|192|East|Europe|Central Europe
Ireland|191|Irela|Europe|British Isles
Kingdom of Serbs, Croats and Slovenes|182|Kingd|Europe|Southeastern Europe
Great Britain|180|Great|Europe|British Isles
Estonia|153|Eston|Europe|Eastern Europe
Nazi Germany|136|Nazi|Europe|Central Europe
Netherlands|135|Nethe|Europe|Western Europe
Serbia|128|Serbi|Europe|Southeastern Europe
Cisleithania|125|Cisle|Europe|Central Europe
Belarus|120|Belar|Europe|Eastern Europe
Kingdom of Hungary|105|Kingd|Europe|Central Europe
Iceland|103|Icela|Europe|Scandinavia
Second Polish Republic|103|Secon|Europe|Central Europe
Moldova|98|Moldo|Europe|Eastern Europe
Croatia|96|Croat|Europe|Southeastern Europe
Kingdom of Prussia|96|Kingd|Europe|Central Europe
Slovakia|92|Slova|Europe|Central Europe
Kingdom of Sardinia (1720-1861)|90|Kingd|Europe|Southern Europe
West Germany|82|West|Europe|Central Europe
Kingdom of Sardinia|79|Kingd|Europe|Southern Europe
Yugoslavia|78|Yugos|Europe|Southeastern Europe
Albania|77|Alban|Europe|Southeastern Europe
Georgia|68|Georg|Europe|Eastern Europe
Wales|62|Wales|Europe|British Isles
Prussia|49|Pruss|Europe|Central Europe
North Macedonia|48|North|Europe|Southeastern Europe
Grand Duchy of Finland|46|Grand|Europe|Scandinavia
Weimar Republic|45|Weima|Europe|Central Europe
Bosnia and Herzegovina|41|Bosni|Europe|Southeastern Europe
Irish Free State|40|Irish|Europe|British Isles
Russian Socialist Federative Soviet Republic|39|Russi|Europe|Eastern Europe
Russian Soviet Federative Socialist Republic|38|Russi|Europe|Eastern Europe
Malta|37|Malta|Europe|Southern Europe
Free Territory of Trieste|32|Free|Europe|Southern Europe
Kingdom of Hanover|32|Kingd|Europe|Central Europe
Kingdom of the Two Sicilies|32|Kingd|Europe|Southern Europe
Liechtenstein|31|Liech|Europe|Central Europe
Kingdom of Romania|28|Kingd|Europe|Southeastern Europe
Papal States|26|Papal|Europe|Southern Europe
Faroe Islands|24|Faroe|Europe|Scandinavia
West Ukrainian People's Republic|23|West|Europe|Eastern Europe
British Cyprus|21|Briti|Europe|Southeastern Europe
England|20|Engla|Europe|British Isles
Duchy of Savoy|19|Duchy|Europe|Western Europe
Andorra|18|Andor|Europe|Southern Europe
Grand Duchy of Tuscany|18|Grand|Europe|Southern Europe
Kingdom of Bavaria|18|Kingd|Europe|Western Europe
Polish–Lithuanian Commonwealth|18|Polis|Europe|Eastern Europe
Ukrainian People's Republic|17|Ukrai|Europe|Eastern Europe
Kingdom of Lombardy–Venetia|16|Kingd|Europe|Southern Europe
Kingdom of Saxony|16|Kingd|Europe|Central Europe
Kingdom of Serbia|16|Kingd|Europe|Southeastern Europe
San Marino|16|San M|Europe|Southern Europe
Federal People's Republic of Yugoslavia|15|Feder|Europe|Southeastern Europe
Russian Republic|15|Russi|Europe|Eastern Europe
Democratic Republic of Georgia|14|Democ|Europe|Eastern Europe
United Principalities|14|Unite|Europe|Southeastern Europe
Grand Duchy of Oldenburg|12|Grand|Europe|Central Europe
Ukrainian Soviet Socialist Republic|12|Ukrai|Europe|Eastern Europe
Byelorussian Soviet Socialist Republic|10|Byelo|Europe|Eastern Europe
Gibraltar|10|Gibra|Europe|Southern Europe
Montenegro|10|Monte|Europe|Southeastern Europe
Grand Duchy of Baden|9|Grand|Europe|Central Europe
Irish Republic|9|Irish|Europe|British Isles
Transnistria|9|Trans|Europe|Eastern Europe
Holy Roman Empire|8|Holy|Europe|Central Europe
Monaco|8|Monac|Europe|Western Europe
Federal Republic of Yugoslavia|7|Feder|Europe|Southeastern Europe
Federal State of Austria|7|Feder|Europe|Central Europe
First Republic of Austria|7|First|Europe|Central Europe
Principality of Serbia|7|Princ|Europe|Southeastern Europe
Scotland|7|Scotl|Europe|British Isles
Serbia and Montenegro|7|Serbi|Europe|Southeastern Europe
Congress Poland|6|Congr|Europe|Central Europe
German Confederation|6|Germa|Europe|Central Europe
Kingdom of Bulgaria|6|Kingd|Europe|Southeastern Europe
Kingdom of Württemberg|6|Kingd|Europe|Central Europe
Principality of Moldavia|6|Princ|Europe|Eastern Europe
Protectorate of Bohemia and Moravia|6|Prote|Europe|Central Europe
Ukrainian State|6|Ukrai|Europe|Eastern Europe
Grand Duchy of Mecklenburg-Schwerin|5|Grand|Europe|Central Europe
Principality of Wallachia|5|Princ|Europe|Southeastern Europe
United States of the Ionian Islands|5|Unite|Europe|Southeastern Europe
Democratic Federal Yugoslavia|4|Democ|Europe|Southeastern Europe
First French Empire|4|First|Europe|Western Europe
Kingdom of Spain|4|Kingd|Europe|Southern Europe
Polish People's Republic|4|Polis|Europe|Central Europe
Republic of German-Austria|4|Repub|Europe|Central Europe
Republic of Venice|4|Repub|Europe|Southern Europe
Romanian People's Republic|4|Roman|Europe|Southeastern Europe
Socialist Republic of Romania|4|Socia|Europe|Southeastern Europe
Batavian Republic|3|Batav|Europe|Western Europe
Bremen|3|Breme|Europe|Central Europe
French Third Republic|3|Frenc|Europe|Western Europe
Grand Duchy of Hesse|3|Grand|Europe|Central Europe
Habsburg Monarchy|3|Habsb|Europe|Central Europe
Hamburg|3|Hambu|Europe|Central Europe
Independent State of Croatia|3|Indep|Europe|Southeastern Europe
Kingdom of Bohemia|3|Kingd|Europe|Central Europe
Kingdom of Ireland|3|Kingd|Europe|British Isles
Kingdom of Portugal|3|Kingd|Europe|Southern Europe
Lübeck|3|Lübec|Europe|Central Europe
Principality of Lippe|3|Princ|Europe|Central Europe
Slovak State (1939-1945)|3|Slova|Europe|Central Europe
State of Slovenes, Croats and Serbs|3|State|Europe|Southeastern Europe
Belarusian People's Republic|2|Belar|Europe|Eastern Europe
Duchy of Brunswick|2|Duchy|Europe|Central Europe
Duchy of Holstein|2|Duchy|Europe|Central Europe
Duchy of Lucca|2|Duchy|Europe|Southern Europe
Duchy of Modena and Reggio|2|Duchy|Europe|Southern Europe
Dutch Republic|2|Dutch|Europe|Western Europe
Electorate of Hesse|2|Elect|Europe|Central Europe
First Czechoslovak Republic|2|First|Europe|Central Europe
Jersey|2|Jerse|Europe|British Isles
Kingdom of France|2|Kingd|Europe|Western Europe
Kingdom of Montenegro|2|Kingd|Europe|Southeastern Europe
Kingdom of Naples|2|Kingd|Europe|Southern Europe
Republic of Geneva|2|Repub|Europe|Southern Europe
Republic of Genova|2|Repub|Europe|Southern Europe
Saar Protectorate|2|Saar|Europe|Central Europe
Socialist Soviet Republic Of Georgia|2|Socia|Europe|Eastern Europe
Spanish Empire|2|Spani|Europe|Southern Europe
Sweden-Finland|2|Swede|Europe|Scandinavia
Third Reich|2|Third|Europe|Central Europe
Transcaucasian Democratic Federative Republic|2|Trans|Europe|Eastern Europe
Transylvania|2|Trans|Europe|Southeastern Europe
Abkhazia|1|Abkha|Europe|Eastern Europe
Belgians|1|Belgi|Europe|Western Europe
Bessarabia Governorate|1|Bessa|Europe|Eastern Europe
Bohemia|1|Bohem|Europe|Central Europe
Carpatho-Ukraine|1|Carpa|Europe|Eastern Europe
Cisalpine Republic|1|Cisal|Europe|Western Europe
Cretan State|1|Creta|Europe|Southeastern Europe
Czech Silesia|1|Czech|Europe|Central Europe
Czech and Slovak Federal Republic|1|Czech|Europe|Central Europe
Czechoslovak Socialist Republic|1|Czech|Europe|Central Europe
Denmark-Norway|1|Denma|Europe|Scandinavia
Duchy of Berg|1|Duchy|Europe|Central Europe
Duchy of Brunswick-Lüneburg|1|Duchy|Europe|Central Europe
Duchy of Parma|1|Duchy|Europe|Southern Europe
Duchy of Schleswig|1|Duchy|Europe|Central Europe
Duchy of Warsaw|1|Duchy|Europe|Central Europe
Duchy of Württemberg|1|Duchy|Europe|Central Europe
Electorate of Brunswick-Lüneburg|1|Elect|Europe|Central Europe
First Hungarian Republic|1|First|Europe|Central Europe
Francoist Spain|1|Franc|Europe|Southern Europe
Free City of Frankfurt|1|Free|Europe|Central Europe
French|1|Frenc|Europe|Western Europe
French Second Republic|1|Frenc|Europe|Western Europe
Grand Duchy of Cracow|1|Grand|Europe|Central Europe
Grand Duchy of Mecklenburg-Strelitz|1|Grand|Europe|Central Europe
Illyrian Provinces|1|Illyr|Europe|Southern Europe
Isle of Man|1|Isle|Europe|British Isles
Italian Republic|1|Itali|Europe|Southern Europe
Italian Social Republic|1|Itali|Europe|Southern Europe
Kingdom of Holland|1|Kingd|Europe|Western Europe
Kingdom of Poland|1|Kingd|Europe|Central Europe
Kuban People's Republic|1|Kuban|Europe|Eastern Europe
Landgraviate of Hesse-Kassel|1|Landg|Europe|Central Europe
Liberland|1|Liber|Europe|Southeastern Europe
Luhansk People's Republic|1|Luhan|Europe|Eastern Europe
Moldavian Democratic Republic|1|Molda|Europe|Southeastern Europe
Nassau-Saarbrücken|1|Nassa|Europe|Central Europe
Northern Ireland|1|North|Europe|British Isles
People's Republic of Bulgaria|1|Peopl|Europe|Southeastern Europe
People's Republic of Hungary|1|Peopl|Europe|Central Europe
Principality of Anhalt-Zerbst|1|Princ|Europe|Central Europe
Principality of Transylvania|1|Princ|Europe|Southeastern Europe
Republic of Bosnia and Herzegovina|1|Repub|Europe|Southeastern Europe
Republic of Central Lithuania|1|Repub|Europe|Eastern Europe
Republic of San Marco|1|Repub|Europe|Southern Europe
Roman Republic|1|Roman|Europe|Southern Europe
Schaumburg-Lippe|1|Schau|Europe|Central Europe
Second Crimean Regional Government|1|Secon|Europe|Eastern Europe
Second Czechoslovak Republic|1|Secon|Europe|Central Europe
Socialist Republic of Macedonia|1|Socia|Europe|Southeastern Europe
South Ossetia|1|South|Europe|Eastern Europe
Southern Netherlands|1|South|Europe|Western Europe
Sovereign Principality of the United Netherlands|1|Sover|Europe|Western Europe
Spain under the Restoration|1|Spain|Europe|Southern Europe
Spaniards|1|Spani|Europe|Southern Europe
Third Czechoslovak Republic|1|Third|Europe|Central Europe
Ticino|1|Ticin|Europe|Western Europe
Transcaucasian Commissariat|1|Trans|Europe|Eastern Europe
Union between Sweden and Norway|1|Union|Europe|Scandinavia
United Kingdom of the Netherlands|1|Unite|Europe|Western Europe
Vatican City|1|Vatic|Europe|Southern Europe
Wallachia|1|Walla|Europe|Southeastern Europe
Western Moldavia|1|Weste|Europe|Southeastern Europe
Württemberg|1|Württ|Europe|Central Europe
duchy of Saxe-Coburg and Gotha|1|duchy|Europe|Central Europe
