nationality|freq|code
United States of America|25500|Unite
Germany|12223|Germa
Spain|5396|Spain
France|3933|Franc
United Kingdom|3853|Unite
Japan|3845|Japan
Poland|3016|Polan
Brazil|2721|Brazi
Canada|2598|Canad
Kingdom of Italy|2397|Kingd
Italy|2000|Italy
Soviet Union|1938|Sovie
Norway|1791|Norwa
Belgium|1685|Belgi
Kingdom of the Netherlands|1665|Kingd
Argentina|1624|Argen
Hungary|1453|Hunga
Chile|1365|Chile
United Kingdom of Great Britain and Ireland|1339|Unite
Russia|1298|Russi
Switzerland|1283|Switz
Austria|1280|Austr
Czechoslovakia|1202|Czech
Sweden|1139|Swede
Austria-Hungary|1079|Austr
Greece|1074|Greec
Socialist Federal Republic of Yugoslavia|1027|Socia
Mexico|1023|Mexic
Russian Empire|1016|Russi
Australia|990|Austr
India|956|India
Israel|956|Israe
Slovenia|847|Slove
Peru|809|Peru
British India|757|Briti
Finland|735|Finla
Romania|695|Roman
Colombia|682|Colom
Turkey|675|Turke
South Korea|674|South
Denmark|669|Denma
German Reich|592|Germa
Ukraine|540|Ukrai
Kingdom of Yugoslavia|523|Kingd
Dominion of India|518|Domin
Czech Republic|500|Czech
New Zealand|491|New Z
Portugal|479|Portu
Uruguay|401|Urugu
Bulgaria|395|Bulga
German Empire|388|Germa
People's Republic of China|371|Peopl
Lithuania|354|Lithu
Austrian Empire|347|Austr
Venezuela|320|Venez
Luxembourg|291|Luxem
Pakistan|291|Pakis
Philippines|289|Phili
Nigeria|283|Niger
Ghana|249|Ghana
South Africa|243|South
Latvia|224|Latvi
Armenia|214|Armen
Ecuador|209|Ecuad
Costa Rica|199|Costa
East Germany|192|East 
Ireland|191|Irela
Cyprus|187|Cypru
Indonesia|184|Indon
Iran|182|Iran
Kingdom of Serbs, Croats and Slovenes|182|Kingd
Great Britain|180|Great
Malaysia|166|Malay
Egypt|159|Egypt
Sri Lanka|156|Sri L
Estonia|153|Eston
Bolivia|148|Boliv
Iraq|147|Iraq
Ottoman Empire|144|Ottom
Tunisia|144|Tunis
Nazi Germany|136|Nazi 
Taiwan|136|Taiwa
Netherlands|135|Nethe
Serbia|128|Serbi
Cisleithania|125|Cisle
Belarus|120|Belar
Thailand|118|Thail
Bangladesh|117|Bangl
Dominican Republic|111|Domin
Lebanon|107|Leban
Cuba|106|Cuba
Kingdom of Hungary|105|Kingd
Iceland|103|Icela
Second Polish Republic|103|Secon
Uganda|103|Ugand
Moldova|98|Moldo
Croatia|96|Croat
Kingdom of Prussia|96|Kingd
Slovakia|92|Slova
Kingdom of Sardinia (1720-1861)|90|Kingd
Honduras|86|Hondu
Kazakhstan|83|Kazak
Republic of China (1912–1949)|83|Repub
Paraguay|82|Parag
West Germany|82|West 
Morocco|81|Moroc
Kingdom of Sardinia|79|Kingd
Yugoslavia|78|Yugos
Albania|77|Alban
Guatemala|71|Guate
Singapore|69|Singa
Georgia|68|Georg
Azerbaijan|63|Azerb
State of Palestine|63|State
Kenya|62|Kenya
Wales|62|Wales
Syria|58|Syria
Panama|54|Panam
El Salvador|50|El Sa
Prussia|49|Pruss
North Macedonia|48|North
Grand Duchy of Finland|46|Grand
Weimar Republic|45|Weima
Bosnia and Herzegovina|41|Bosni
Irish Free State|40|Irish
Trinidad and Tobago|40|Trini
Algeria|39|Alger
Russian Socialist Federative Soviet Republic|39|Russi
Russian Soviet Federative Socialist Republic|38|Russi
Democratic Republic of the Congo|37|Democ
Malta|37|Malta
Jordan|34|Jorda
Haiti|33|Haiti
Free Territory of Trieste|32|Free 
Kingdom of Hanover|32|Kingd
Kingdom of the Two Sicilies|32|Kingd
Zambia|32|Zambi
Liechtenstein|31|Liech
Senegal|31|Seneg
Saudi Arabia|30|Saudi
The Gambia|29|The G
Cameroon|28|Camer
Kingdom of Romania|28|Kingd
Vietnam|28|Vietn
Jamaica|27|Jamai
Liberia|26|Liber
Papal States|26|Papal
Puerto Rico|25|Puert
Benin|24|Benin
Faroe Islands|24|Faroe
Fiji|24|Fiji
Nicaragua|24|Nicar
West Ukrainian People's Republic|23|West 
British Cyprus|21|Briti
Mozambique|21|Mozam
Sierra Leone|21|Sierr
Zimbabwe|21|Zimba
Burkina Faso|20|Burki
Confederate States of America|20|Confe
England|20|Engla
Kingdom of Iraq|20|Kingd
Qing dynasty|20|Qing 
Tanzania|20|Tanza
Duchy of Savoy|19|Duchy
Libya|19|Libya
Malawi|19|Malaw
Mandatory Palestine|19|Manda
Suriname|19|Surin
Andorra|18|Andor
Grand Duchy of Tuscany|18|Grand
Guinea|18|Guine
Kingdom of Bavaria|18|Kingd
Mali|18|Mali
Niger|18|Niger
Polish–Lithuanian Commonwealth|18|Polis
Kingdom of Hawaiʻi|17|Kingd
Nepal|17|Nepal
Ukrainian People's Republic|17|Ukrai
first Syrian Republic|17|first
Ivory Coast|16|Ivory
Kingdom of Lombardy–Venetia|16|Kingd
Kingdom of Saxony|16|Kingd
Kingdom of Serbia|16|Kingd
San Marino|16|San M
Federal People's Republic of Yugoslavia|15|Feder
Guyana|15|Guyan
Iraqi Republic (1958–68)|15|Iraqi
Russian Republic|15|Russi
Afghanistan|14|Afgha
Democratic Republic of Georgia|14|Democ
Mauritania|14|Mauri
United Arab Republic|14|Unite
United Principalities|14|Unite
Armenian Soviet Socialist Republic|13|Armen
Barbados|13|Barba
Greater Lebanon|13|Great
Hong Kong|13|Hong 
Somalia|13|Somal
Sudan|13|Sudan
The Bahamas|13|The B
Angola|12|Angol
Ba'athist Iraq|12|Ba'at
China|12|China
Grand Duchy of Oldenburg|12|Grand
Myanmar|12|Myanm
Namibia|12|Namib
Ukrainian Soviet Socialist Republic|12|Ukrai
Mongolia|11|Mongo
Arab Kingdom of Syria|10|Arab 
Byelorussian Soviet Socialist Republic|10|Byelo
Gibraltar|10|Gibra
Mauritius|10|Mauri
Montenegro|10|Monte
Papua New Guinea|10|Papua
Rwanda|10|Rwand
State of Syria|10|State
Chad|9|Chad
Grand Duchy of Baden|9|Grand
Irish Republic|9|Irish
Kingdom of Egypt|9|Kingd
Republic of the Congo|9|Repub
Saint Lucia|9|Saint
Transnistria|9|Trans
Yemen|9|Yemen
British Hong Kong|8|Briti
Holy Roman Empire|8|Holy 
Kuwait|8|Kuwai
Madagascar|8|Madag
Monaco|8|Monac
Samoa|8|Samoa
Seychelles|8|Seych
Togo|8|Togo
Uzbekistan|8|Uzbek
Belize|7|Beliz
Botswana|7|Botsw
Cape Verde|7|Cape 
Central African Republic|7|Centr
Dominica|7|Domin
Equatorial Guinea|7|Equat
Federal Republic of Yugoslavia|7|Feder
Federal State of Austria|7|Feder
First Republic of Austria|7|First
Principality of Serbia|7|Princ
Republic of Artsakh|7|Repub
Republic of Egypt (1953–1958)|7|Repub
Scotland|7|Scotl
Serbia and Montenegro|7|Serbi
Taiwan under Japanese rule|7|Taiwa
Tonga|7|Tonga
Congress Poland|6|Congr
Ethiopia|6|Ethio
First Syrian Republic|6|First
German Confederation|6|Germa
Grenada|6|Grena
Imperial State of Iran|6|Imper
Kingdom of Bulgaria|6|Kingd
Kingdom of Württemberg|6|Kingd
Kyrgyzstan|6|Kyrgy
Maldives|6|Maldi
Principality of Moldavia|6|Princ
Protectorate of Bohemia and Moravia|6|Prote
Qatar|6|Qatar
Saint Kitts and Nevis|6|Saint
Tajikistan|6|Tajik
Turkish Republic of Northern Cyprus|6|Turki
Ukrainian State|6|Ukrai
Antigua and Barbuda|5|Antig
Bahrain|5|Bahra
Colony of New Zealand|5|Colon
Grand Duchy of Mecklenburg-Schwerin|5|Grand
Kosovo|5|Kosov
North Korea|5|North
Palestine|5|Pales
Principality of Wallachia|5|Princ
United States of the Ionian Islands|5|Unite
Democratic Federal Yugoslavia|4|Democ
East Timor|4|East 
Emirate of Transjordan|4|Emira
Empire of Japan|4|Empir
First French Empire|4|First
Kingdom of Spain|4|Kingd
Polish People's Republic|4|Polis
Republic of German-Austria|4|Repub
Republic of Venice|4|Repub
Romanian People's Republic|4|Roman
Saint Vincent and the Grenadines|4|Saint
Socialist Republic of Romania|4|Socia
State of Damascus|4|State
Alawite State|3|Alawi
Batavian Republic|3|Batav
Bremen|3|Breme
Cambodia|3|Cambo
Federal Republic of Central America|3|Feder
First Republic of Armenia|3|First
French Third Republic|3|Frenc
Gabon|3|Gabon
Grand Duchy of Hesse|3|Grand
Habsburg Monarchy|3|Habsb
Hamburg|3|Hambu
Independent State of Croatia|3|Indep
Kingdom of Bohemia|3|Kingd
Kingdom of Ireland|3|Kingd
Kingdom of Portugal|3|Kingd
Lesotho|3|Lesot
Lübeck|3|Lübec
Principality of Lippe|3|Princ
Republic of New Granada|3|Repub
Rhodesia|3|Rhode
Slovak State (1939-1945)|3|Slova
Solomon Islands|3|Solom
South Sudan|3|South
State of Slovenes, Croats and Serbs|3|State
Sultanate of Egypt|3|Sulta
São Tomé and Príncipe|3|São T
Vanuatu|3|Vanua
Alash Autonomy|2|Alash
Azerbaijan Democratic Republic|2|Azerb
Belarusian People's Republic|2|Belar
Brazilians|2|Brazi
British America|2|Briti
British Empire|2|Briti
Burundi|2|Burun
Canada East|2|Canad
Canadians|2|Canad
Cape Colony|2|Cape 
Captaincy General of the Philippines|2|Capta
Chileans|2|Chile
Dominion of Ceylon|2|Domin
Duchy of Brunswick|2|Duchy
Duchy of Holstein|2|Duchy
Duchy of Lucca|2|Duchy
Duchy of Modena and Reggio|2|Duchy
Dutch Republic|2|Dutch
Electorate of Hesse|2|Elect
Empire of Brazil|2|Empir
First Czechoslovak Republic|2|First
Gran Colombia|2|Gran 
Granadine Confederation|2|Grana
Greenland|2|Green
Guam|2|Guam
Guinea-Bissau|2|Guine
Jersey|2|Jerse
Joseon|2|Joseo
Kingdom of France|2|Kingd
Kingdom of Montenegro|2|Kingd
Kingdom of Naples|2|Kingd
Korea under Japanese rule|2|Korea
Oman|2|Oman
Palau|2|Palau
Palestinian National Authority|2|Pales
Province of Canada|2|Provi
Republic of Geneva|2|Repub
Republic of Genova|2|Repub
Republic of Hawaii|2|Repub
Republic of Texas|2|Repub
Saar Protectorate|2|Saar 
Socialist Soviet Republic Of Georgia|2|Socia
Spanish Empire|2|Spani
Surinam|2|Surin
Sweden-Finland|2|Swede
Third Reich|2|Third
Transcaucasian Democratic Federative Republic|2|Trans
Transylvania|2|Trans
Turkmenistan|2|Turkm
Union of South Africa|2|Union
United Arab Emirates|2|Unite
United States of Colombia|2|Unite
Abkhazia|1|Abkha
Armenians|1|Armen
Aruba|1|Aruba
Belgian Congo|1|Belgi
Belgians|1|Belgi
Bessarabia Governorate|1|Bessa
Bohemia|1|Bohem
British Ceylon|1|Briti
British Leeward Islands|1|Briti
British Mauritius|1|Briti
British National (Overseas)|1|Briti
Byblos|1|Byblo
Captaincy General of Cuba|1|Capta
Carpatho-Ukraine|1|Carpa
Chechen Republic of Ichkeria|1|Chech
Cisalpine Republic|1|Cisal
Colombians|1|Colom
Colonial Nigeria|1|Colon
Commonwealth of the Philippines|1|Commo
Comoros|1|Comor
Cretan State|1|Creta
Czech Silesia|1|Czech
Czech and Slovak Federal Republic|1|Czech
Czechoslovak Socialist Republic|1|Czech
Denmark-Norway|1|Denma
Dholpur State|1|Dholp
Duchy of Berg|1|Duchy
Duchy of Brunswick-Lüneburg|1|Duchy
Duchy of Parma|1|Duchy
Duchy of Schleswig|1|Duchy
Duchy of Warsaw|1|Duchy
Duchy of Württemberg|1|Duchy
Dutch East Indies|1|Dutch
Electorate of Brunswick-Lüneburg|1|Elect
Emirate of Nejd and Hasa|1|Emira
Eritrea|1|Eritr
Eswatini|1|Eswat
Far Eastern Republic|1|Far E
First Hungarian Republic|1|First
Francoist Spain|1|Franc
Free City of Frankfurt|1|Free 
French|1|Frenc
French Mandate for Syria and the Lebanon|1|Frenc
French Second Republic|1|Frenc
French protectorate of Tunisia|1|Frenc
Gold Coast|1|Gold 
Grand Duchy of Cracow|1|Grand
Grand Duchy of Mecklenburg-Strelitz|1|Grand
Houston|1|Houst
Illyrian Provinces|1|Illyr
Indians|1|India
Iranian monarchy|1|Irani
Islamic State of Iraq and the Levant|1|Islam
Isle of Man|1|Isle 
Italian Republic|1|Itali
Italian Social Republic|1|Itali
Jabal Druze State|1|Jabal
Jordanian|1|Jorda
Jordanian annexation of the West Bank|1|Jorda
Kazakh Soviet Socialist Republic|1|Kazak
Khedivate of Egypt|1|Khedi
Kingdom of Afghanistan|1|Kingd
Kingdom of Araucanía and Patagonia|1|Kingd
Kingdom of Hejaz|1|Kingd
Kingdom of Holland|1|Kingd
Kingdom of Nejd and Hejaz|1|Kingd
Kingdom of Poland|1|Kingd
Kiribati|1|Kirib
Korean Empire|1|Korea
Kuban People's Republic|1|Kuban
Landgraviate of Hesse-Kassel|1|Landg
Laos|1|Laos
Liberland|1|Liber
Luhansk People's Republic|1|Luhan
Mali Federation|1|Mali 
Manchukuo|1|Manch
Moldavian Democratic Republic|1|Molda
Muscat and Oman|1|Musca
Nassau-Saarbrücken|1|Nassa
Nauru|1|Nauru
Northern Ireland|1|North
Oaxaca|1|Oaxac
Orange Free State|1|Orang
Orange River Colony|1|Orang
Palestinian territories|1|Pales
Panama State|1|Panam
People's Republic of Bulgaria|1|Peopl
People's Republic of Hungary|1|Peopl
Principality of Anhalt-Zerbst|1|Princ
Principality of Transylvania|1|Princ
Provincia Libre de Guayaquil|1|Provi
Q13202801|1|Q1320
Q8770091|1|Q8770
Qajar Iran|1|Qajar
Republic of Afghanistan|1|Repub
Republic of Bosnia and Herzegovina|1|Repub
Republic of Central Lithuania|1|Repub
Republic of San Marco|1|Repub
Republic of the Congo (Léopoldville)|1|Repub
Roman Republic|1|Roman
Schaumburg-Lippe|1|Schau
Second Crimean Regional Government|1|Secon
Second Czechoslovak Republic|1|Secon
Siam|1|Siam
Socialist Republic of Macedonia|1|Socia
South African Republic|1|South
South Ossetia|1|South
Southern Netherlands|1|South
Sovereign Principality of the United Netherlands|1|Sover
Spain under the Restoration|1|Spain
Spaniards|1|Spani
State of Aleppo|1|State
State of Venezuela|1|State
Sudanese|1|Sudan
Sultanate of Nejd|1|Sulta
Taiwan under Qing Dynasty rule|1|Taiwa
Third Czechoslovak Republic|1|Third
Ticino|1|Ticin
Transcaucasian Commissariat|1|Trans
Transcaucasian Socialist Federative Soviet Republic|1|Trans
Travancore|1|Trava
Turkestan Autonomy|1|Turke
Tuvalu|1|Tuval
Union between Sweden and Norway|1|Union
United Kingdom of Portugal, Brazil and the Algarves|1|Unite
United Kingdom of the Netherlands|1|Unite
United States Virgin Islands|1|Unite
Vatican City|1|Vatic
Venezolano|1|Venez
Venezuelodesmus decui|1|Venez
Viceroyalty of New Granada|1|Vicer
Wallachia|1|Walla
Western Moldavia|1|Weste
Württemberg|1|Württ
Zaire|1|Zaire
duchy of Saxe-Coburg and Gotha|1|duchy
